Id,UserId,IsFrozen
0Yw0N0000062OaLSAU,0050N000007tRfDQAU,TRUE
0Yw0N0000062OpaSAE,0050N000007tRuSQAU,TRUE
0Yw0N0000062OpfSAE,0050N000007tRuXQAU,TRUE
0Ywb0000000I7ScCAK,005b0000000e0ayAAA,TRUE
0Ywb0000000IeANCA0,005b0000000eZCjAAM,TRUE
0Ywb0000000IeAOCA0,005b0000000eZCkAAM,TRUE
0Ywb0000000K566CAC,005b0000000gAkMAAU,TRUE
0Ywb0000000K569CAC,005b0000000gAkPAAU,TRUE
0Ywb0000000K58MCAS,005b0000000gAmcAAE,TRUE
0Ywb0000000K58RCAS,005b0000000gAmhAAE,TRUE
0Ywb0000000K5AcCAK,005b0000000gAosAAE,TRUE
0Ywb0000000K5AeCAK,005b0000000gAouAAE,TRUE
0Ywb0000000K5AkCAK,005b0000000gAp0AAE,TRUE
0Ywb0000000K5CjCAK,005b0000000gAqzAAE,TRUE
0Ywb0000000K5ClCAK,005b0000000gAr1AAE,TRUE
0Ywb0000000KAIZCA4,005b0000000gGnVAAU,TRUE
0Ywb0000000wNN9CAM,005b0000001ZMiKAAW,TRUE
0Yw0N000005BdCOSA0,0050N000005xUzQQAU,TRUE
0Yw0N000005BdCTSA0,0050N000005xUzVQAU,TRUE
0Yw0N000005BdCYSA0,0050N000005xUzaQAE,TRUE
0Yw0N000005BdCdSAK,0050N000005xUzfQAE,TRUE
0Yw0N000005BdDgSAK,0050N000005xV0iQAE,TRUE
0Yw0N000005BdJeSAK,0050N000005xV6vQAE,TRUE
0Yw0N000005BdMdSAK,0050N000005xV9zQAE,TRUE
0Yw0N000005BeqASAS,0050N000005xWdlQAE,TRUE
0Yw0N000005BeqFSAS,0050N000005xWdqQAE,TRUE
0Yw0N000005BgF1SAK,0050N000005xY4xQAE,TRUE
0Yw0N000005BgFGSA0,0050N000005xY5CQAU,TRUE
0Yw0N000005BgFLSA0,0050N000005xY5HQAU,TRUE
0Yw0N000005BgFQSA0,0050N000005xY5MQAU,TRUE
0Yw0N000005BgFVSA0,0050N000005xY5RQAU,TRUE
0Yw0N000005BgFaSAK,0050N000005xY5WQAU,TRUE
0Yw0N000005BgFfSAK,0050N000005xY5bQAE,TRUE
0Yw0N000005IhZtSAK,0050N000006pLe5QAE,TRUE
